ID,Category,Strategy,Action,Description,Type,Priority,CSC Points,Status,% Complete,Target Date,Responsible Party,Funding,Implementation Projects,Notes
NZM-01,Net Zero Mobility,Reduce Vehicle Miles Traveled,Low Carbon Heating and Cooling,"Optimize energy efficiency by integrating all-electric heating and cooling systems, site-specific geothermal solutions, and district-scale thermal networks.",Mitigation,Standard,25-40,Not Started,0,,,"NYSERDA NYS Clean Heat Program, Federal Tax Credits (IRA), NYSERDA HVAC Programs","Village Green Buildings & Parking Lots Upgrade Program; East Parcel Sustainability & Resiliency Plan; Village Clean Energy Zoning, Building Codes, and Permitting Process",
NZM-02,Net Zero Mobility,Reduce Vehicle Miles Traveled,Climate Smart Siting and Building Design,"Integrate passive design, sustainable materials, and resource-efficient infrastructure to enhance energy efficiency and resilience in Sleepy Hollow's built environment.",Mitigation,Standard,20-35,Not Started,0,,,"NYSERDA New Construction Program, NYS Real Property Tax Exemption for Green Buildings, NYSEFC Green Resiliency Grant Program",Sponge Village Stormwater Master Plan; Village Green Buildings & Parking Lots Upgrade Program; Village Forestry and Stewardship Program,
NZM-03,Net Zero Mobility,Resource Efficient Infrastructure,Embed Sustainability and Resiliency Standards in Village Infrastructure Projects,"Ensure all major infrastructure projects meet sustainability and climate resilience standards through LEED, Envision, and embodied carbon reduction strategies.",Mitigation,Standard,20-35,Not Started,0,,,"NYSDEC CSC Grant, NYSERDA Building Cleaner Communities Competition",Sponge Village Stormwater Master Plan; Village Clean Energy Zoning; Sleepy Hollow Hazard Mitigation Plan; Shoreline Resiliency and Reconnection Plan,
NZM-04,Net Zero Mobility,Resource Efficient Infrastructure,"Adopt Energy Efficient Street, Traffic, and Open Space Fixtures","Upgrade Sleepy Hollow's public lighting systems with LED technology and smart controls to reduce energy consumption, improve safety, and lower operational costs.",Mitigation,Standard,20-35,Not Started,0,,,NYPA Smart Street Lighting NY Program,Sponge Village Stormwater Master Plan; Village Green Buildings & Parking Lots Upgrade Program; Village Clean Energy Zoning,
CE-01,Clean Energy & Water Systems,Renewable and Clean Energy Systems,Integrate Clean Energy Systems into Public and Private Buildings,"Expand renewable energy adoption, energy storage, and microgrids to enhance sustainability and resilience across Sleepy Hollow.",Mitigation,Priority,20-40,Not Started,0,,,"NY Green Bank, NY-Sun Initiative, NYSERDA Energy Storage Program, Federal ITC",East Parcel Sustainability & Resiliency Plan; Village Clean Energy Zoning; Shoreline Resiliency and Reconnection Plan,
CE-02,Clean Energy & Water Systems,Renewable and Clean Energy Systems,Expand and Enhance Municipal Aggregation for Renewable Energy,"Leverage Community Choice Aggregation (CCA) to increase renewable energy use, lower costs, and support Sleepy Hollow's climate goals.",Mitigation,Standard,20-35,Not Started,0,,,"NYSERDA Community Choice Aggregation Toolkit, NYSERDA FlexTech",Village Green Buildings & Parking Lots Upgrade Program,
CE-03,Clean Energy & Water Systems,Integrate Ecological Infrastructure,Village Natural Area and Forestry Program,"Integrate natural systems into Sleepy Hollow's built environment through conservation, reforestation, and sustainable land management.",Mitigation,Standard,20-40,Not Started,0,,,,Sponge Village Stormwater Master Plan; East Parcel Sustainability & Resiliency Plan; Shoreline Resiliency and Reconnection Plan; Organics & Food Scraps Management Program; Village Forestry and Stewardship Program,
CP-01,Climate Positive Communities,Circular Village & Economy,Adopt Circular Waste Approach,"Transition to a circular economy by enhancing waste diversion, recycling, and composting systems in Sleepy Hollow.",Mitigation,Priority,20-35,Not Started,0,,,"NYSDEC Municipal Waste Reduction and Recycling Program (MWR&R), NYSAR Community Reuse Grant",East Parcel Sustainability & Resiliency Plan; Organics and Food Scraps Management Program,
CP-02,Climate Positive Communities,Circular Village & Economy,Enable Locally Grown Food Systems,"Expand access to locally produced food, reduce transportation emissions, and support sustainable agriculture in Sleepy Hollow.",Mitigation,Standard,20-35,Not Started,0,,,"NYSDAM Urban Farms and Community Gardens Grant, Cornell Cooperative Extension Urban Agriculture Program",Sponge Village Stormwater Master Plan; Village Green Buildings & Parking Lots Upgrade Program; Organics and Food Scraps Management Program,
CP-03,Climate Positive Communities,Climate Conscious Businesses,Empower Businesses to Go-Green,Support local businesses in adopting sustainable practices to reduce their environmental impact and contribute to Sleepy Hollow's climate action goals.,Mitigation,Standard,20-35,Not Started,0,,,"SBEAP, NYSESD Small Business Environmental Support Office, SSBCI, NYSESD Linked Deposit Program, New York Green Bank",Organics & Food Scraps Management Program; Village Green Buildings & Parking Lots Upgrade Program,
